Speech ID,Title,Event,Speaker,Date,Location,Duration of Speech (HH:MM:SS),YouTube Speech Link,Number of Lies,Fact Checker Link,Fact Checker Source,Transcript,Team Member Responsibility
1,"VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)",Democractic National Convention,Kamala Harris,8/22/24,"Chicago, Illinois",00:39:35,https://www.youtube.com/watch?v=-ofJu78Wpn0&list=PLkCeJSrX8m2_hhMXGj8jRN7t-32--szKl&index=94,,https://www.npr.org/2024/08/25/g-s1-19480/harris-dnc-fact-check,NPR,,
2,Donald Trump speaks at the RNC: FULL SPEECH,Republican National Convention,Donald Trump,7/18/24,"Milwaukee, Wisconsin",01:32:23,https://www.youtube.com/watch?v=qc5NgBZXdtI,,https://www.pbs.org/newshour/politics/fact-checking-trumps-rnc-speech,PBS,,
3,Donald Trump full speech at Pennsylvania rally,Rally Speech,Donald Trump,10/5/24,"Butler, Pennsylvania",01:30:04,https://www.youtube.com/watch?v=Q5TIZnhXX7Q&list=PLkCeJSrX8m2_hhMXGj8jRN7t-32--szKl&index=7,,https://www.politifact.com/article/2024/oct/06/politifact-donald-trump-returns-to-butler-pennsylv/,Politifact,,
4,Kamala Harris Pittsburgh  Rally Speech,Rally Speech,Kamala Harris,9/25/24,"Pittsburgh, Pennsylvania",00:45:44,https://www.youtube.com/watch?v=XokApnr_Cak,,https://www.politifact.com/factchecks/list/?speaker=kamala-harris,Politifact,,
5,Donald Trump at Mar-a-Lago [FULL SPEECH],News Conference,Donald Trump,8/8/24,"Palm Beach, Florida",01:04:25,https://www.youtube.com/watch?v=EZK7O9J6RvM,,https://www.npr.org/2024/08/11/nx-s1-5070566/trump-news-conference,NPR,,
6,Full Debate: Harris vs. Trump in 2024 ABC News Presidential Debate | WSJ,Presidential Debate,"Kamala Harris, Donald Trump",9/10/24,"Philadelphia, Pennsylvania",01:49:25,https://www.youtube.com/watch?v=VgsC_aBquUE,,https://www.npr.org/2024/09/11/g-s1-21932/fact-check-trump-harris-presidential-debate-2024,,https://abc7.com/read-harris-trump-presidential-debate-transcript/15289001/,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,